(       COND    VER.1.00        SYSTEM  CONDITION               29/OCT/2007);
(     PL IP    ON  OFF SV  S  UP DN V  LC PP B_OFS S_OFS LNS  STEP  LNM RY );
(No. = PL   IP  ON OFF  SV  S UP DN  V LC PP  LNS  STEP LNM B_OFS S_OFS    RY)
C103 = + 003.0 095 040 050 05 08 06 01 00 01 0000 0.000 300 0.100 0.085 025.0;
C425 = + 002.5 080 040 050 05 08 06 01 00 01 0000 0.000 300 0.090 0.075 020.0;
C102 = + 002.0 060 040 050 05 08 05 01 00 01 0000 0.000 300 0.080 0.065 016.0;
C415 = + 001.5 030 045 050 05 08 05 01 00 01 0000 0.000 300 0.070 0.060 013.0;
C101 = + 001.0 020 030 050 05 08 04 01 00 01 0000 0.000 300 0.060 0.050 010.0;

C525 = + 002.5 070 040 050 05 08 06 01 00 01 0200 0.000 300 0.085 0.070 018.0;
C202 = + 002.0 050 040 050 05 08 06 01 00 01 0100 0.000 300 0.075 0.060 015.0;
C515 = + 001.5 025 040 050 05 08 06 01 00 01 0080 0.000 300 0.065 0.050 012.0;
C201 = + 001.0 015 030 050 05 08 06 01 00 01 0070 0.000 300 0.055 0.045 008.0;
C505 = + 000.5 008 015 050 05 08 06 01 00 01 0050 0.000 300 0.045 0.040 006.0;

C615 = + 001.5 020 030 050 05 08 06 01 00 01 0000 0.000 300 0.055 0.045 010.0;
C301 = + 001.0 010 020 050 05 08 06 01 00 01 0000 0.000 300 0.045 0.035 007.0;
C605 = + 000.5 005 015 050 05 08 06 01 00 01 0000 0.000 300 0.035 0.030 005.0;
C300 = + 000.0 002 010 050 05 08 06 01 00 01 0000 0.000 300 0.025 0.020 002.5;

